ogc_fid,lsoa11cd,lsoa11nm,lsoa11nmw,Tot_Pupil,AuthSess,UnauthSes,TotalSess
5661,E01005821,Stockport 018E,Stockport 018E,192,2561,506,68147
5662,E01005822,Stockport 016D,Stockport 016D,181,2843,1970,61982
5663,E01005823,Stockport 018F,Stockport 018F,228,2881,1066,80220
5664,E01005824,Stockport 024A,Stockport 024A,209,2331,476,74243
5665,E01005825,Stockport 019A,Stockport 019A,178,2315,850,64656
5666,E01005826,Stockport 024B,Stockport 024B,317,4832,2108,112652
5667,E01005827,Stockport 024C,Stockport 024C,183,1977,431,67053
5668,E01005828,Stockport 024D,Stockport 024D,296,4962,2846,102794
5669,E01005829,Stockport 024E,Stockport 024E,191,2809,836,69537
5670,E01005830,Stockport 027E,Stockport 027E,181,2180,543,66024
5671,E01005831,Stockport 027F,Stockport 027F,220,2879,550,80289
5672,E01005832,Stockport 021A,Stockport 021A,166,2010,620,60125
5673,E01005833,Stockport 021B,Stockport 021B,116,1576,265,42460
5674,E01005834,Stockport 031A,Stockport 031A,232,2630,799,83172
5675,E01005835,Stockport 021C,Stockport 021C,150,1664,788,52332
5676,E01005836,Stockport 031B,Stockport 031B,226,2582,575,81227
5677,E01005837,Stockport 021D,Stockport 021D,206,2798,642,74930
5678,E01005838,Stockport 031C,Stockport 031C,218,2660,718,79525
5679,E01005839,Stockport 035C,Stockport 035C,133,1057,124,48215
5680,E01005840,Stockport 031D,Stockport 031D,192,2682,714,69304
5681,E01005841,Stockport 035D,Stockport 035D,174,1543,227,64084
5682,E01005842,Stockport 038A,Stockport 038A,168,1755,42,62487
5683,E01005843,Stockport 021E,Stockport 021E,165,2081,319,60045
5684,E01005844,Stockport 036A,Stockport 036A,160,2149,472,58613
5685,E01005845,Stockport 036B,Stockport 036B,203,2746,646,71823
5686,E01005846,Stockport 040A,Stockport 040A,241,2931,599,85002
5687,E01005847,Stockport 040B,Stockport 040B,222,2609,677,80588
5688,E01005848,Stockport 040C,Stockport 040C,159,2072,259,57362
5689,E01005849,Stockport 036C,Stockport 036C,176,2500,488,64280
5690,E01005850,Stockport 040D,Stockport 040D,242,4004,1421,87453
5691,E01005851,Stockport 036D,Stockport 036D,164,2378,809,60494
5692,E01005852,Stockport 013A,Stockport 013A,121,1567,486,43931
5693,E01005853,Stockport 011A,Stockport 011A,272,3454,2118,98642
5694,E01005854,Stockport 013B,Stockport 013B,223,2204,223,80952
5695,E01005855,Stockport 013C,Stockport 013C,202,2069,368,75169
5696,E01005856,Stockport 011B,Stockport 011B,241,2872,330,88814
5697,E01005857,Stockport 013D,Stockport 013D,209,3124,478,74655
5698,E01005858,Stockport 013E,Stockport 013E,110,1544,173,40184
5699,E01005859,Stockport 008A,Stockport 008A,155,1716,402,56571
5700,E01005860,Stockport 011C,Stockport 011C,221,2310,379,81470
5701,E01005861,Stockport 011D,Stockport 011D,187,2330,200,69221
5702,E01005862,Stockport 003A,Stockport 003A,204,2229,210,73834
5703,E01005863,Stockport 006A,Stockport 006A,183,1747,375,66916
5704,E01005864,Stockport 006B,Stockport 006B,171,1599,200,61268
5705,E01005865,Stockport 008B,Stockport 008B,181,1683,340,66585
5706,E01005866,Stockport 006C,Stockport 006C,150,1460,440,53474
5707,E01005867,Stockport 008C,Stockport 008C,150,1795,112,55357
5708,E01005868,Stockport 008D,Stockport 008D,186,2342,326,68363
5709,E01005869,Stockport 006D,Stockport 006D,198,2422,513,71624
5712,E01005872,Stockport 019B,Stockport 019B,244,3019,813,88685
5713,E01005873,Stockport 015C,Stockport 015C,231,3215,707,83692
5714,E01005874,Stockport 019C,Stockport 019C,168,2673,754,61011
5715,E01005875,Stockport 015D,Stockport 015D,200,2455,531,73620
5716,E01005876,Stockport 019D,Stockport 019D,203,2642,581,74864
5717,E01005877,Stockport 019E,Stockport 019E,188,2561,575,69365
5718,E01005878,Stockport 020A,Stockport 020A,282,4455,2299,98149
5719,E01005879,Stockport 020B,Stockport 020B,154,2177,876,53836
5720,E01005880,Stockport 017A,Stockport 017A,169,1962,626,61937
5721,E01005881,Stockport 017B,Stockport 017B,135,1375,89,49913
5722,E01005882,Stockport 020C,Stockport 020C,141,1328,89,51412
5723,E01005883,Stockport 017C,Stockport 017C,156,1535,90,56887
5724,E01005884,Stockport 020D,Stockport 020D,161,1399,114,59122
5725,E01005885,Stockport 020E,Stockport 020E,162,2002,869,57540
5726,E01005886,Stockport 001A,Stockport 001A,146,2253,813,51369
5727,E01005887,Stockport 002A,Stockport 002A,286,4127,2132,102441
5728,E01005888,Stockport 001B,Stockport 001B,165,2598,1189,60285
5729,E01005889,Stockport 001C,Stockport 001C,170,2340,1333,61286
5730,E01005890,Stockport 002B,Stockport 002B,254,4030,1991,89898
5731,E01005891,Stockport 001D,Stockport 001D,91,1006,301,33075
5732,E01005892,Stockport 003B,Stockport 003B,159,2087,1296,56063
5733,E01005893,Stockport 002C,Stockport 002C,181,2261,1171,66487
5734,E01005894,Stockport 001E,Stockport 001E,186,2574,852,68101
5735,E01005895,Stockport 003C,Stockport 003C,149,2301,1201,54330
5736,E01005896,Stockport 002D,Stockport 002D,160,2081,1055,57917
5737,E01005897,Stockport 010A,Stockport 010A,259,4022,1463,93489
5738,E01005898,Stockport 010B,Stockport 010B,193,2722,404,69783
5739,E01005899,Stockport 012B,Stockport 012B,180,2374,509,66441
5740,E01005900,Stockport 010C,Stockport 010C,157,2163,321,56003
5741,E01005901,Stockport 012C,Stockport 012C,141,2144,180,51564
5742,E01005902,Stockport 012D,Stockport 012D,251,3780,855,89704
5743,E01005903,Stockport 010D,Stockport 010D,145,1386,216,53600
5744,E01005904,Stockport 010E,Stockport 010E,204,2542,233,73905
5745,E01005905,Stockport 012E,Stockport 012E,286,5110,1799,99024
5746,E01005906,Stockport 038B,Stockport 038B,91,746,114,32764
5747,E01005907,Stockport 038C,Stockport 038C,106,906,671,39014
5748,E01005908,Stockport 017D,Stockport 017D,206,1703,96,76350
5749,E01005909,Stockport 029A,Stockport 029A,165,1774,283,61047
5750,E01005910,Stockport 029B,Stockport 029B,207,3590,979,74582
5751,E01005911,Stockport 029C,Stockport 029C,132,1573,562,47821
5752,E01005912,Stockport 029D,Stockport 029D,170,2430,617,61014
5753,E01005913,Stockport 038D,Stockport 038D,137,1894,197,49813
5754,E01005914,Stockport 007A,Stockport 007A,160,1857,823,57411
5755,E01005915,Stockport 007B,Stockport 007B,212,2838,993,74603
5756,E01005916,Stockport 007C,Stockport 007C,210,2825,970,73256
5757,E01005917,Stockport 007D,Stockport 007D,226,3110,1059,82385
5758,E01005918,Stockport 014D,Stockport 014D,222,3648,2856,75501
5759,E01005919,Stockport 002E,Stockport 002E,272,4805,1590,95635
5760,E01005920,Stockport 003D,Stockport 003D,212,2816,648,77843
5761,E01005921,Stockport 003E,Stockport 003E,183,2468,628,65534
5762,E01005922,Stockport 003F,Stockport 003F,127,1470,540,45944
5763,E01005923,Stockport 041C,Stockport 041C,140,1538,61,50138
5764,E01005924,Stockport 042A,Stockport 042A,148,1533,144,54841
5765,E01005925,Stockport 042B,Stockport 042B,131,1243,110,47271
5766,E01005926,Stockport 042C,Stockport 042C,73,625,55,25460
5767,E01005927,Stockport 032A,Stockport 032A,171,1649,174,63073
5768,E01005928,Stockport 032B,Stockport 032B,237,3795,956,86036
5769,E01005929,Stockport 032C,Stockport 032C,98,862,89,36034
5770,E01005930,Stockport 032D,Stockport 032D,170,1754,253,63029
5771,E01005931,Stockport 041D,Stockport 041D,137,1350,94,50737
5772,E01005932,Stockport 042D,Stockport 042D,143,1673,91,51772
