,ogc_fid,lsoa11cd,lsoa11nm,lsoa11nmw,Tot_Pupil,AuthSess,UnauthSes,TotalSess,Rate
116,5696,E01005856,Stockport 011B,Stockport 011B,241,2872,330,88814,0.00371563
117,5697,E01005857,Stockport 013D,Stockport 013D,209,3124,478,74655,0.006402786
118,5698,E01005858,Stockport 013E,Stockport 013E,110,1544,173,40184,0.004305196
119,5699,E01005859,Stockport 008A,Stockport 008A,155,1716,402,56571,0.007106114
120,5700,E01005860,Stockport 011C,Stockport 011C,221,2310,379,81470,0.004652019
121,5701,E01005861,Stockport 011D,Stockport 011D,187,2330,200,69221,0.002889297
122,5702,E01005862,Stockport 003A,Stockport 003A,204,2229,210,73834,0.002844218
123,5703,E01005863,Stockport 006A,Stockport 006A,183,1747,375,66916,0.005604041
124,5704,E01005864,Stockport 006B,Stockport 006B,171,1599,200,61268,0.003264347
125,5705,E01005865,Stockport 008B,Stockport 008B,181,1683,340,66585,0.005106255
126,5706,E01005866,Stockport 006C,Stockport 006C,150,1460,440,53474,0.008228298
127,5707,E01005867,Stockport 008C,Stockport 008C,150,1795,112,55357,0.002023231
128,5708,E01005868,Stockport 008D,Stockport 008D,186,2342,326,68363,0.004768661
129,5709,E01005869,Stockport 006D,Stockport 006D,198,2422,513,71624,0.007162404
130,5712,E01005872,Stockport 019B,Stockport 019B,244,3019,813,88685,0.009167277
131,5713,E01005873,Stockport 015C,Stockport 015C,231,3215,707,83692,0.008447641
132,5714,E01005874,Stockport 019C,Stockport 019C,168,2673,754,61011,0.012358427
133,5715,E01005875,Stockport 015D,Stockport 015D,200,2455,531,73620,0.007212714
134,5716,E01005876,Stockport 019D,Stockport 019D,203,2642,581,74864,0.007760739
135,5717,E01005877,Stockport 019E,Stockport 019E,188,2561,575,69365,0.008289483
136,5718,E01005878,Stockport 020A,Stockport 020A,282,4455,2299,98149,0.02342357
137,5719,E01005879,Stockport 020B,Stockport 020B,154,2177,876,53836,0.01627164
138,5720,E01005880,Stockport 017A,Stockport 017A,169,1962,626,61937,0.010107044
139,5721,E01005881,Stockport 017B,Stockport 017B,135,1375,89,49913,0.001783103
140,5722,E01005882,Stockport 020C,Stockport 020C,141,1328,89,51412,0.001731113
141,5723,E01005883,Stockport 017C,Stockport 017C,156,1535,90,56887,0.001582084
142,5724,E01005884,Stockport 020D,Stockport 020D,161,1399,114,59122,0.001928216
143,5725,E01005885,Stockport 020E,Stockport 020E,162,2002,869,57540,0.015102537
144,5726,E01005886,Stockport 001A,Stockport 001A,146,2253,813,51369,0.015826666
145,5727,E01005887,Stockport 002A,Stockport 002A,286,4127,2132,102441,0.02081198
146,5728,E01005888,Stockport 001B,Stockport 001B,165,2598,1189,60285,0.019722982
147,5729,E01005889,Stockport 001C,Stockport 001C,170,2340,1333,61286,0.021750481
148,5730,E01005890,Stockport 002B,Stockport 002B,254,4030,1991,89898,0.022147323
149,5731,E01005891,Stockport 001D,Stockport 001D,91,1006,301,33075,0.009100529
150,5732,E01005892,Stockport 003B,Stockport 003B,159,2087,1296,56063,0.023116851
151,5733,E01005893,Stockport 002C,Stockport 002C,181,2261,1171,66487,0.017612466
152,5734,E01005894,Stockport 001E,Stockport 001E,186,2574,852,68101,0.01251083
153,5735,E01005895,Stockport 003C,Stockport 003C,149,2301,1201,54330,0.022105651
154,5736,E01005896,Stockport 002D,Stockport 002D,160,2081,1055,57917,0.018215722
155,5737,E01005897,Stockport 010A,Stockport 010A,259,4022,1463,93489,0.0156489
156,5738,E01005898,Stockport 010B,Stockport 010B,193,2722,404,69783,0.005789376
157,5739,E01005899,Stockport 012B,Stockport 012B,180,2374,509,66441,0.007660932
158,5740,E01005900,Stockport 010C,Stockport 010C,157,2163,321,56003,0.005731836
159,5741,E01005901,Stockport 012C,Stockport 012C,141,2144,180,51564,0.003490808
160,5742,E01005902,Stockport 012D,Stockport 012D,251,3780,855,89704,0.009531348
161,5743,E01005903,Stockport 010D,Stockport 010D,145,1386,216,53600,0.004029851
162,5744,E01005904,Stockport 010E,Stockport 010E,204,2542,233,73905,0.003152696
163,5745,E01005905,Stockport 012E,Stockport 012E,286,5110,1799,99024,0.018167313
164,5746,E01005906,Stockport 038B,Stockport 038B,91,746,114,32764,0.003479429
165,5747,E01005907,Stockport 038C,Stockport 038C,106,906,671,39014,0.017198954
166,5748,E01005908,Stockport 017D,Stockport 017D,206,1703,96,76350,0.001257367
167,5749,E01005909,Stockport 029A,Stockport 029A,165,1774,283,61047,0.004635772
168,5750,E01005910,Stockport 029B,Stockport 029B,207,3590,979,74582,0.013126492
169,5751,E01005911,Stockport 029C,Stockport 029C,132,1573,562,47821,0.011752159
170,5752,E01005912,Stockport 029D,Stockport 029D,170,2430,617,61014,0.010112433
171,5753,E01005913,Stockport 038D,Stockport 038D,137,1894,197,49813,0.003954791
172,5754,E01005914,Stockport 007A,Stockport 007A,160,1857,823,57411,0.014335232
173,5755,E01005915,Stockport 007B,Stockport 007B,212,2838,993,74603,0.013310457
174,5756,E01005916,Stockport 007C,Stockport 007C,210,2825,970,73256,0.013241236
175,5757,E01005917,Stockport 007D,Stockport 007D,226,3110,1059,82385,0.012854282
176,5758,E01005918,Stockport 014D,Stockport 014D,222,3648,2856,75501,0.037827314
177,5759,E01005919,Stockport 002E,Stockport 002E,272,4805,1590,95635,0.016625712
178,5760,E01005920,Stockport 003D,Stockport 003D,212,2816,648,77843,0.008324448
179,5761,E01005921,Stockport 003E,Stockport 003E,183,2468,628,65534,0.009582812
180,5762,E01005922,Stockport 003F,Stockport 003F,127,1470,540,45944,0.011753439
181,5763,E01005923,Stockport 041C,Stockport 041C,140,1538,61,50138,0.001216642
182,5764,E01005924,Stockport 042A,Stockport 042A,148,1533,144,54841,0.002625773
183,5765,E01005925,Stockport 042B,Stockport 042B,131,1243,110,47271,0.002327008
184,5766,E01005926,Stockport 042C,Stockport 042C,73,625,55,25460,0.002160251
185,5767,E01005927,Stockport 032A,Stockport 032A,171,1649,174,63073,0.002758708
186,5768,E01005928,Stockport 032B,Stockport 032B,237,3795,956,86036,0.011111628
187,5769,E01005929,Stockport 032C,Stockport 032C,98,862,89,36034,0.00246989
188,5770,E01005930,Stockport 032D,Stockport 032D,170,1754,253,63029,0.004014025
189,5771,E01005931,Stockport 041D,Stockport 041D,137,1350,94,50737,0.001852691
190,5772,E01005932,Stockport 042D,Stockport 042D,143,1673,91,51772,0.001757707
